Station,Easting,Northing,Azimuth,Distance (ft)
0+00,1619660.7,177337.1,326.9,54.9
1+10,1619745.6,177407.4,323.2,109.6
2+19,1619839.9,177464.4,319.7,107.2
3+24,1619928.1,177523.6,316.8,102.6
4+24,1619990.7,177602.6,314.8,97.5
5+19,1620045.3,177682,313.5,93.4
6+11,1620099.1,177757.4,312.5,91
7+01,1620152,177831.2,311.9,89.8
7+91,1620204.5,177904.2,311.3,89.4
8+80,1620258.1,177976.1,310.7,89.5
9+70,1620300.5,178057.8,310,89.7
10+60,1620340,178141.5,309.3,89.4
11+49,1620389.9,178215.8,308.6,88.5
12+37,1620448.5,178281.5,308.2,86.9
13+22,1620513.8,178339.4,308.1,84.6
14+06,1620579.6,178393.6,308.4,82.2
14+87,1620634.4,178453.4,309,80.3
15+66,1620668.7,178528.3,309.8,79.3
16+45,1620685,178618,310.9,78.6
17+24,1620741.2,178672.8,312.1,78.2
18+02,1620776,178746.9,313.3,78.5
18+81,1620821.4,178812.7,314.5,79.2
19+60,1620868.4,178878.3,315.6,80
20+41,1620916.4,178944.5,316.6,81
21+22,1620971.9,179004.6,317.3,82.2
22+05,1621027.2,179066.7,317.9,83.3
22+89,1621085.8,179126.8,318.3,84.2
23+73,1621147.6,179184.7,318.4,85.1
24+59,1621210.4,179242.8,318.4,85.9
25+45,1621275.2,179299.8,318.1,86.5
26+32,1621341.2,179356.1,317.8,86.7
27+19,1621411.2,179408,317.5,86.6
28+05,1621487,179453.4,317.2,86.3
28+91,1621563,179498,317.1,86
29+77,1621650.4,179530.2,317,86.1
30+63,1621784.3,179513.6,316.8,86.9
31+51,1621780.4,179645.1,316.5,87.7
32+39,1621822.1,179728.8,316,88.5
33+28,1621888.3,179788.5,315.2,89.6
34+18,1621955.6,179848.8,314.3,90.7
35+09,1622020.3,179913,313.1,91.5
36+01,1622091.3,179972.6,311.9,92.4
36+94,1622155.9,180039.5,310.5,93.1
37+87,1622217.1,180110,309,92.8
38+80,1622275.2,180181.6,307.7,91.1
39+70,1622344,180242.3,306.7,87.9
40+55,1622401.6,180306.4,306.6,82.7
41+35,1622454.9,180365.8,307.3,76.7
42+09,1622503.3,180421.8,308.8,72.9
42+81,1622548.2,180478.1,310.8,72
43+53,1622589.2,180538.1,312.8,72.2
44+25,1622632.5,180596.7,314.9,72.1
44+97,1622682,180649.1,316.9,72.5
45+70,1622733.9,180700.7,318.7,74.7
46+46,1622777.1,180767.6,320.2,77.9
47+26,1622830.8,180827.3,321.3,80.3
48+07,1622886.9,180887.2,322.1,81.9
48+90,1622944.6,180947.7,322.6,83.1
49+73,1623004.5,181007.2,322.9,84.2
50+58,1623065,181067.5,323.1,85.1
51+43,1623122.9,181132.8,323,85.8
52+30,1623186.3,181191.8,322.8,86.5
53+16,1623257.6,181241.4,322.5,86.9
54+03,1623327.2,181293.8,322,87.2
54+91,1623392.8,181351.6,321.5,87.3
55+78,1623462.1,181404.8,321,87.3
56+65,1623525.5,181465,320.5,87.2
57+52,1623592.9,181520.2,320.1,87.1
58+40,1623662.2,181573.2,319.6,87.4
59+27,1623732.4,181626,319.1,88.1
60+16,1623804.8,181677.9,318.4,89.3
61+06,1623879.5,181729.5,317.3,90.6
61+97,1623953.2,181784.3,315.9,91.5
62+89,1624009.6,181857.6,314.2,91.7
63+80,1624059.3,181936.8,312.4,91.7
64+72,1624116.7,182008.4,310.6,91.7
65+64,1624172.9,182081.1,309,91.6
66+55,1624227.2,182154.8,307.4,91.5
67+47,1624278.3,182230.7,305.8,91.8
68+39,1624325.6,182310.1,304,92.3
69+32,1624371.3,182390.6,301.7,92.1
70+23,1624417.7,182469.7,299.4,90.9
71+13,1624460.6,182549,297.6,87.9
71+99,1624495.1,182627.6,296.9,81.9
72+77,1624523.8,182700.8,297.8,73.3
73+46,1624554.2,182762.1,300.8,63
74+03,1624581.5,182813.2,305.9,54.1
74+54,1624607.3,182857.3,312.5,51.2
75+06,1624640.6,182897.3,318.9,56.4
75+66,1624691,182931.9,323.7,66.1
76+38,1624753.5,182966.9,326.6,74.7
77+16,1624823.6,183002.4,328.1,80.4
77+99,1624897.3,183040.3,328.7,83.8
78+84,1624972.6,183080.2,328.7,85.8
79+70,1625045.7,183126.3,328.4,86.7
80+57,1625117.5,183175.7,327.9,87
81+44,1625197.3,183212.2,327.4,87
82+31,1625256,183281.7,327,86.7
83+18,1625313.2,183352.2,326.6,86.3
84+04,1625372.2,183418.9,326.2,85.9
84+89,1625437.3,183475.8,326.1,85.6
85+75,1625507.3,183524.7,326,85.4
86+60,1625592.3,183551.4,326,85.5
87+46,1625671.6,183587.2,325.9,85.9
88+32,1625742.4,183636.1,325.7,86.3
89+18,1625814,183684.5,325.3,86.6
90+05,1625893,183722.8,324.8,86.7
90+92,1625962.5,183774.7,324.4,86.7
91+78,1626039.1,183816.7,324,86.6
92+65,1626114.3,183860.4,323.6,86.8
93+52,1626259.8,183810.1,323.3,86.9
94+39,1626287.5,183918.1,323,87
95+26,1626340,183993.1,322.5,87.7
96+14,1626410.8,184045.7,321.8,88.9
97+04,1626494.2,184085,320.7,90.6
97+95,1626570.1,184137.1,319.1,92.7
98+89,1626639.4,184200.2,317.1,94.7
99+85,1626705.2,184269.7,314.3,96.8
100+83,1626773.1,184340.3,310.9,98.5
101+82,1626837,184415.9,307.1,97.4
102+78,1626878.4,184504.2,303.7,92.5
103+67,1626884.2,184606.2,301.6,86.1
104+50,1626904.3,184691.2,301.1,82.8
105+32,1626940,184766.2,301.3,83.5
106+17,1626987.9,184836,300.5,86.4
107+05,1627037.4,184909.4,298.2,90.3
107+97,1627086,184988.3,294.9,92.9
108+91,1627121.9,185074.7,291.2,93.6
109+85,1627148.4,185164.6,287.5,93.2
110+77,1627167.5,185255.6,284,92.5
111+70,1627183.6,185346.4,280.9,91.7
112+61,1627195.5,185436.9,278.1,90.5
113+51,1627203.4,185526.4,275.7,89
114+39,1627204.6,185614.8,274.2,86.9
115+24,1627203.7,185700.8,273.6,84.3
116+07,1627203.7,185783.9,274,80.9
116+86,1627187.3,185864.4,275.7,76.8
117+61,1627192.4,185939.2,278.8,73.8
118+34,1627192.3,186013.2,282.9,73.3
119+08,1627190.5,186090.2,287,75.6
119+85,1627222.2,186161.1,290.2,78.5
120+65,1627265.4,186229.8,292.6,79.4
121+44,1627316.6,186293.5,295.1,77.4
122+19,1627351.4,186360.8,298.3,74.1
122+92,1627399,186417,301.9,73.7
123+67,1627445,186476.3,304.8,76.8
124+46,1627485.4,186544.4,307.1,78.3
125+23,1627525.7,186611.6,309.6,74.1
125+94,1627575.7,186661.5,313.5,65.1
126+53,1627615.4,186706.3,319.6,55.9
127+06,1627654.6,186741.1,327.3,54.3
127+62,1627703.8,186768.7,334.7,59.9
128+26,1627765.3,186786.1,340.5,66.9
128+96,1627833.7,186802.9,344.7,73.3
129+72,1627907.8,186821,347.5,78
130+52,1627986.2,186835.6,349.5,80.4
131+33,1628066.6,186847.2,351.1,81.4
132+15,1628147.5,186857.8,352.6,81.7
132+97,1628228.9,186866.9,353.9,82.2
133+79,1628311.5,186870.2,354.8,83.1
134+63,1628395.5,186869.6,355.1,84.5
135+48,1628481.6,186866.1,354.4,87.1
136+37,1628571.7,186859.7,352.3,90.6
137+29,1628667.3,186847.7,349.3,93.7
138+24,1628761.6,186861.2,345.5,95.7
139+21,1628853.8,186889.5,341.3,96.7
140+18,1628946.7,186918.3,337,97.4
141+16,1629038.2,186953.2,332.8,97.7
142+13,1629121.4,187004.7,328.6,97.5
143+11,1629202.2,187059,324.3,97.1
144+08,1629273.3,187125.5,320.1,96.7
145+04,1629341,187194.3,316.1,96
146+00,1629404.7,187265.7,312.3,94.9
146+94,1629458.8,187343.4,308.8,93.4
147+86,1629513.6,187418.2,305.7,91.9
148+77,1629554.7,187500.4,303.4,90.1
149+67,1629590.1,187583.6,301.8,88.7
150+55,1629628.2,187663.7,300.6,88.3
151+43,1629664.7,187744.5,299.3,88.5
152+32,1629735.6,187807,297.8,89.5
153+22,1629781.8,187884.6,296.1,90.2
154+12,1629852.8,187951.1,294.3,90.3
155+03,1629870.3,188041.9,292.7,89.4
155+91,1629851.8,188145,291.5,87.6
156+78,1629870.9,188230.4,290.9,85.8
157+63,1629889.3,188314.4,290.8,84.1
158+46,1629910,188395.6,291.5,82.5
159+28,1629934.9,188473.7,292.9,81.3
160+09,1629964.6,188549,294.8,80.8
160+89,1629998.5,188622.3,297,80.7
161+70,1630034.4,188694.6,299.2,80.2
162+50,1630073.2,188764.2,301.7,78.7
163+27,1630114.4,188830.2,304.8,76.2
164+02,1630156.9,188891.5,308.8,72.8
164+73,1630202,188946.3,313.8,70.2
165+42,1630254.9,188991.5,319.4,68.9
166+11,1630318,189021.7,324.9,69.1
166+81,1630383.9,189048.4,329.5,71.9
167+55,1630454.4,189073.8,332.9,75.9
168+32,1630527.6,189101.1,335.1,79.4
169+14,1630604,189128.9,336.1,82.8
169+98,1630681.2,189163.1,336.1,85.4
170+84,1630758.9,189201.1,335.5,86.4
171+71,1630835,189242.4,334.9,85.5
172+55,1630907.4,189287.2,334.9,83.7
173+38,1630976.8,189334.8,335.6,82.8
174+21,1631047.9,189378.3,336.8,82.6
175+04,1631123.5,189411.7,338,82.9
175+87,1631202,189439.4,338.7,83.9
176+71,1631280.5,189470.9,338.7,85.3
177+57,1631359.5,189504.8,338.3,86
178+43,1631436.7,189543.6,337.7,86.1
179+29,1631515.3,189578.8,337.2,86.2
180+16,1631595,189611.7,336.6,86.3
181+02,1631676.1,189642,335.9,86.6
181+89,1631757,189673.9,334.7,87
182+76,1631837.5,189707.7,333,87.7
183+64,1631921.4,189737.9,330.6,88.8
184+54,1632003.2,189775.3,327.9,89.3
185+43,1632079.1,189822.2,325.5,89.1
186+32,1632154.5,189869.7,323.5,88.8
187+21,1632230.8,189916,321.9,88.7
188+09,1632302.1,189968.6,320.5,88.4
188+97,1632370,190025.1,319.2,88.1
189+85,1632434.5,190084.8,318.2,87.6
190+73,1632498.2,190144.6,317.3,87.1
191+60,1632551,190215.3,316.6,86.3
192+45,1632600.7,190287.5,316.2,85.2
193+30,1632654.5,190353.7,316.4,84.4
194+14,1632713.8,190413.4,316.9,84
194+98,1632777,190468.6,317.6,84.1
195+82,1632848.6,190515.1,318,84.8
196+68,1632934.6,190547.2,317.8,86.1
197+54,1633013.3,190590.2,316.9,87.7
198+43,1633058.5,190670.8,315.4,87.2
199+29,1633095.5,190755.1,314.1,83.2
200+09,1633126,190837.8,314.2,78.2
200+85,1633162,190909.3,316.4,75.1
201+59,1633208,190969.2,320.5,73.2
202+32,1633265.1,191013.6,325.3,71.6
203+03,1633338.3,191031.2,328.8,74
203+80,1633419,191046,330.1,80.8
204+64,1633503.9,191068.1,329.6,85.9
205+52,1633591.6,191091.9,328.2,88
206+40,1633669.7,191134.3,326.5,88.1
207+28,1633739,191187.9,325.2,43.7
