dates,oahu0101_0001,oahu0101_0002,oahu0101_0003,oahu0101_0004,oahu0101_0005,oahu0101_0006,oahu0101_0007,oahu0101_0008,oahu0101_0009,oahu0101_0010,oahu0101_0011,oahu0101_0012,oahu0101_0013,oahu0101_0014,oahu0101_0015,oahu0101_0016,oahu0101_0017,oahu0101_0018,oahu0101_0019,oahu0101_0020,oahu0101_0021,oahu0101_0022,satname
1990-09-20 20:13:50+00:00,,,,,,,,,,,,,,,,,,,,,,,L5
1991-10-09 20:18:07+00:00,,,,,,,,,,,,,,,,,,,,,,,L5
1991-10-25 20:18:11+00:00,,,,,,,,,,,,,,,,,,,,,,,L5
1991-11-10 20:18:16+00:00,,,,,,,,,,,,,,,,,,,,,,,L5
1991-12-03 20:24:42+00:00,,,,,,,,,,,,,,,,,,,,,,,L5
1991-12-12 20:18:31+00:00,,,,,,,,,,,,,,,,,,,,,,,L5
1991-12-28 20:18:23+00:00,,,,,,,,,,,,,,,,,,,,,,,L5
1999-07-10 20:53:01+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
1999-07-26 20:53:05+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-12 20:53:05+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-07 20:47:06+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-14 20:53:13+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-15 20:53:07+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-01 20:53:02+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-17 20:53:11+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-02 20:53:03+00:00,30.83282546484468,28.71621106577532,24.316145443225658,30.95384902322054,34.77814801248769,40.18074862894802,48.779811425017634,54.847519846726726,51.14921817675079,50.551162721534645,57.215660891841495,54.07229894733695,54.26581630510803,57.24703229842992,63.17925272342609,69.30748089546226,66.6077751877745,56.568197025396906,65.74858545339288,66.39272713892278,54.75148758505666,46.68947595802643,L7
2000-01-18 20:53:00+00:00,36.80466759398343,35.58844899133462,32.871725635335295,40.1474004766438,40.28047266900396,44.06513342799968,51.014912082488806,57.84186014897381,52.81910998451222,50.91072891218556,58.866760278270405,53.30402443077646,53.98561771316993,55.59001428087828,61.56149851719353,67.9304387704736,66.65400160021656,58.88822391161135,67.21807009425997,65.91193328874645,56.65018059297124,49.564265243594576,L7
2000-02-19 20:52:54+00:00,30.98687148021237,32.99518061646674,29.841722351884503,36.9752619896451,44.21452858097707,48.62915386330828,58.868169926172506,58.72662440046735,52.28056158013757,50.97163259396355,56.606530775282046,57.74146182954272,57.99276487271296,55.89098706753291,62.11813910121277,66.27797739177593,61.80223128021275,52.00078569550431,60.11286000566614,58.70828806409552,52.92426680006674,44.52102419195098,L7
2000-03-22 20:52:50+00:00,26.7902033185512,21.67389268103751,18.91964420241183,26.132156166374976,33.03558089841506,36.67513429283235,45.26479851265584,49.3050736664097,46.52575165613834,45.11029652263458,50.15250449151778,46.41940110427601,44.92382636206934,41.97335670488714,48.290734380226965,53.60841634836632,,,,,,,L7
2000-04-07 20:52:39+00:00,32.13463205351674,25.487774863832648,23.23950011209708,29.57178510977465,36.13032075173111,41.01624923054119,50.05168113601811,54.64316670851533,50.956668494970366,49.38682317068709,57.1886202009368,51.28941017091133,51.453618243045184,53.24870293564051,55.358853454732944,59.84966495209551,56.25074141523683,48.63294920445681,57.20033636937059,55.8406186499297,49.59522640805176,41.54004046468663,L7
2000-04-23 20:52:33+00:00,,,,,,,,,,,,,36.64923655591254,38.50155607972,43.34138705200058,46.69997642945937,44.83415475294913,39.04870257986849,49.14513522640518,49.42042923135314,41.6717697026433,34.3107021359672,L7
2000-05-09 20:52:21+00:00,,,,10.719099164639193,14.051228613928105,14.269101898947726,15.982233632674768,21.78202726039655,15.545952061730258,19.317680266855145,29.28438958989192,25.49430141851669,24.01918702856276,25.39372818272633,,,24.602184212727835,18.730987514922585,33.27012261526917,38.77177223261472,35.68991128547826,29.64303587926773,L7
2000-05-25 20:52:12+00:00,20.197325093662407,12.666179378061198,10.309935486541464,17.720797755798223,22.991104708482805,,,18.17444522131605,,,,,20.204733205367287,23.310333975981887,,,,,,26.75474347805195,25.86861980795176,22.987221732616952,L7
2000-06-10 20:52:06+00:00,29.27199449987701,21.36483034933913,17.93674434669651,25.100294864146147,28.75867922187108,21.8262911553815,31.23822844968952,26.0681540410485,19.394307316224555,18.47499615826964,33.75455693033114,32.002935704673746,32.43511786755231,34.86538329805342,39.54653130940805,47.73442392812975,45.81889999624354,42.69208364109638,53.553643314117416,54.42985530975759,48.13677152282295,43.89511344788251,L7
2000-06-19 20:45:53+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
