dates,oahu0104_0001,oahu0104_0002,satname
1991-11-26 20:18:23+00:00,,,L5
1991-12-03 20:24:42+00:00,28.59217176620197,29.37068006186171,L5
1991-12-12 20:18:31+00:00,32.52646404524923,34.718112836040994,L5
1999-07-10 20:53:01+00:00,32.08519465862884,23.260495508274,L7
1999-07-26 20:53:05+00:00,25.561183074970693,16.976974113396682,L7
1999-09-12 20:53:05+00:00,8.818261681613865,,L7
1999-10-14 20:53:13+00:00,36.345298369676506,40.46670868648649,L7
1999-11-15 20:53:07+00:00,35.74752641410009,33.824950867984754,L7
1999-12-17 20:53:11+00:00,45.4180468215777,52.43455220047844,L7
2000-01-02 20:53:03+00:00,39.19728997824416,57.45706343594616,L7
2000-01-18 20:53:00+00:00,45.43847752555513,54.088033898275285,L7
2000-02-19 20:52:54+00:00,40.30616063046218,49.1616664733919,L7
2000-03-06 20:52:49+00:00,39.17331154213397,36.91415429057914,L7
2000-04-07 20:52:39+00:00,28.868502430178857,24.01864361613818,L7
2000-04-23 20:52:33+00:00,24.454535379317782,18.529275607159544,L7
2000-05-25 20:52:12+00:00,27.89509047683234,26.68226649378625,L7
2000-06-10 20:52:06+00:00,27.337369696524643,19.86837349712641,L7
2000-06-26 20:51:56+00:00,23.95980292496464,17.547022227057163,L7
2000-07-28 20:51:26+00:00,35.36544871578368,29.338625018488766,L7
2000-09-14 20:50:50+00:00,40.33669037011232,38.63820635728802,L7
2000-09-30 20:50:41+00:00,,,L7
2000-11-17 20:50:34+00:00,35.14203494456031,31.139795028763977,L7
2000-12-19 20:50:39+00:00,36.77148731582243,36.8829802878748,L7
2001-02-05 20:50:39+00:00,39.467162019199904,47.66397938704068,L7
2001-02-21 20:50:38+00:00,25.54117288994829,23.704091924420894,L7
2001-03-09 20:50:34+00:00,34.578733828348994,36.84358814373092,L7
2001-03-25 20:50:25+00:00,34.63492935665905,27.968010222565656,L7
2001-05-12 20:50:10+00:00,22.299842340328368,14.405130268054675,L7
2001-05-28 20:50:01+00:00,19.19395240728894,11.383949590149006,L7
2001-06-13 20:49:50+00:00,30.380007387731386,24.29025133750417,L7
2001-06-29 20:49:35+00:00,26.07994531001388,23.89006215676792,L7
2001-09-01 20:48:54+00:00,29.61464516581567,23.257531469477065,L7
2001-10-03 20:48:30+00:00,,,L7
2001-11-20 20:48:45+00:00,25.084985404021506,24.157511643606533,L7
2001-12-06 20:48:46+00:00,29.24155658490678,30.989834494629427,L7
2001-12-22 20:48:56+00:00,38.761482184686194,49.87235516343476,L7
2002-01-07 20:48:58+00:00,22.836223390836608,20.14232498841769,L7
2002-01-23 20:49:06+00:00,40.24190818623688,36.42858321628231,L7
2002-02-24 20:49:10+00:00,31.03537547142541,34.600868210755465,L7
2002-03-12 20:49:08+00:00,34.63425633598634,36.88358154920096,L7
2002-03-28 20:49:03+00:00,33.49886376790453,30.9681837598636,L7
2002-06-16 20:48:45+00:00,26.769417581295265,20.000634894017285,L7
2002-08-19 20:48:22+00:00,28.36448179641538,26.909268676516778,L7
2002-09-20 20:48:01+00:00,40.79090234407349,39.97923580595933,L7
2002-10-06 20:47:56+00:00,32.71187574112397,31.238409960057773,L7
2002-11-07 20:48:07+00:00,35.320135549256,32.79719549061399,L7
2002-11-23 20:48:24+00:00,26.784513031020897,26.434115332804254,L7
2002-12-25 20:48:35+00:00,41.46781359020685,41.74499252397669,L7
2003-01-10 20:48:36+00:00,23.84048811997854,20.646188705985114,L7
2003-01-26 20:48:44+00:00,24.72389463283578,22.263541287777752,L7
2003-02-27 20:48:54+00:00,21.624561683840444,42.37617792386779,L7
2003-03-15 20:48:58+00:00,39.42395592536394,40.66882165514843,L7
2003-03-31 20:48:57+00:00,26.58233025648344,25.63338522090494,L7
2003-07-21 20:48:46+00:00,25.350650528345223,32.22287311912294,L7
2003-08-06 20:48:37+00:00,,,L7
2003-09-23 20:48:25+00:00,,,L7
