subcell,transect,min,min_month,max,max_month,seasonal_excursion,Warrick_ML_ranking-based-on-Kmeans,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
KEIKI-PIPELINE,oahu0012_0001,-13.39379848,1,15.2765509,8,28.67034938,9,0,3.397787479,7.296826781,4.912565205,10.83310746,14.52411632,25.3920318,28.67034938,25.08496944,15.776833,7.116202214,5.567621188
KEIKI-PIPELINE,oahu0012_0002,-16.79187432,2,18.5112507,8,35.30312502,9,4.273396067,0,5.233767012,8.882997828,14.06837915,21.68079572,31.54959474,35.30312502,34.30770973,27.37732835,15.14633608,13.96750875
KEIKI-PIPELINE,oahu0012_0003,-14.47933453,2,17.37667857,9,31.8560131,9,6.752731858,0,3.477519686,5.699031461,11.88368591,15.78471023,23.77638673,30.73969706,31.8560131,27.74639241,11.44379391,12.30644278
KEIKI-PIPELINE,oahu0012_0004,-14.30394893,2,15.35266967,9,29.6566186,9,8.028566278,0,3.307589814,5.445382731,8.305347043,11.8066054,22.78261168,28.57186211,29.6566186,27.17043234,13.56065231,11.49330972
KEIKI-PIPELINE,oahu0012_0005,-13.15833968,2,13.3285856,9,26.48692527,10,9.321961476,0,3.967840689,6.21278579,7.198509631,11.54757542,19.10646772,25.6553538,26.48692527,26.00700953,15.69463834,11.5528352
KEIKI-PIPELINE,oahu0012_0006,-12.57646293,2,12.96119699,10,25.53765992,10,9.632336592,0,6.527369395,5.333004476,6.845366519,9.630679788,16.3896843,20.58833269,23.46678381,25.53765992,14.82461597,12.56685299
KEIKI-PIPELINE,oahu0012_0007,-9.533893346,2,13.66096273,10,23.19485608,10,6.479506372,0,2.278279743,3.381031563,2.627663631,6.0841774,11.19995729,14.31757762,19.04286101,23.19485608,14.60559312,9.731145311
KEIKI-PIPELINE,oahu0012_0008,-7.40981993,2,12.8379229,10,20.24774283,10,6.483769368,0,2.739602124,2.871082359,0.076567141,3.554503217,8.141477271,10.2952982,16.97013223,20.24774283,13.69218638,9.087871419
KEIKI-PIPELINE,oahu0012_0009,-7.853864001,5,12.6042869,10,20.45815091,10,9.32654635,0.973424783,2.929589191,2.745918478,0,0.584127891,7.467835611,9.911136728,16.26181051,20.45815091,15.2250841,9.275782736
KEIKI-PIPELINE,oahu0012_0010,-7.286210138,6,12.22584296,10,19.51205309,10,9.086951067,1.733412117,1.492412813,1.75446779,0.739637481,0,6.107131844,8.230474482,14.37225277,19.51205309,13.50699333,7.680373343
KEIKI-PIPELINE,oahu0012_0011,-6.702425096,6,13.15782908,10,19.86025417,10,9.105704899,1.858743539,0.383413379,0.59328649,1.476931446,0,3.704150259,5.989263853,15.12223343,19.86025417,12.75020641,7.622505741
KEIKI-PIPELINE,oahu0012_0012,-7.551576084,4,11.47168789,10,19.02326398,10,8.540097955,0.420783909,3.097007643,0,3.577095351,4.977413305,3.851024962,8.184490442,13.96201588,19.02326398,8.817861058,8.271861963
KEIKI-PIPELINE,oahu0012_0013,-5.772631053,2,9.231322972,10,15.00395402,10,6.329332997,0,2.087149719,2.728338865,2.612174176,5.015506474,7.482337927,7.855139773,8.766266118,15.00395402,5.936999871,2.766673526
KEIKI-PIPELINE,oahu0012_0014,-3.880950573,2,5.651323,9,9.532273574,10,3.50518485,0,0.008529995,1.107586175,3.642256399,2.262238121,4.68735132,6.338186915,9.532273574,9.500233038,2.610801153,2.840282305
KEIKI-PIPELINE,oahu0012_0015,-5.785199751,12,3.822361986,9,9.607561737,9,4.375587705,0.668596302,1.300138515,3.463343436,5.71375997,4.499337113,8.580723322,9.16815662,9.607561737,8.393895697,3.332542603,0
KEIKI-PIPELINE,oahu0012_0016,-7.760839322,12,4.865766002,7,12.62660532,9,3.990170579,2.926579751,3.638414354,4.517545041,7.313175401,7.868180985,12.62660532,11.88391999,12.10117047,11.84974778,7.235132318,0
KEIKI-PIPELINE,oahu0012_0017,-7.327759225,12,5.91514415,10,13.24290337,9,0.910566212,3.356954831,0.663414405,6.263104302,6.170357667,8.285216178,12.28123693,11.51978831,10.68834374,13.24290337,7.18759878,0
