,id,site_id,scoord,geometry,baseline_std,baseline_average,transect,tmin_month,tmax_month,tmin_median,tmax_median,t_maxmin_difference,t_test_results,monthly_medians,min_max_diff_standardized,cluster_label,mean_max_month,cluster_label_ranked,mean_max_month_shifted_for_ARCGIS
0,oahu0012_0001,usa_HI_Oahu0012,0,"LINESTRING (597147.9870145721 2394917.137388604, 596972.6157188364 2395182.489660069)",13.430931274915494,93.46243165755361,oahu0012_0001,1,8,-13.393798475519347,15.276550900014136,28.670349375533483,1,"[-1.35337101 -0.98195882 -0.55575478 -0.81637844 -0.16920389  0.23426034
  1.42223232  1.78058526  1.38866733  0.37119481 -0.57549885 -0.74477426]",-4.824094543840764,5,8.4,9,11.4
1,oahu0012_0002,usa_HI_Oahu0012,0,"LINESTRING (597173.7277230273 2394938.7248771926, 596984.0350496088 2395189.150572818)",14.773556066917036,87.58621007107024,oahu0012_0002,2,8,-16.791874319892116,18.51125070099576,35.303125020887876,1,"[-1.14162534 -1.50635862 -1.05965792 -0.74819699 -0.30562599  0.34409185
  1.18639137  1.50675424  1.4217958   0.83028949 -0.21362264 -0.31423525]",-3.5389641338459996,5,8.4,9,11.4
2,oahu0012_0003,usa_HI_Oahu0012,0,"LINESTRING (597202.3490082823 2394956.2762401206, 596993.6552073162 2395199.115553135)",15.1293937464969,93.988762416871,oahu0012_0003,2,9,-14.479334530344019,17.376678573564732,31.85601310390875,1,"[-0.7999082  -1.44529751 -1.11293513 -0.90061514 -0.30951957  0.06331908
  0.82711997  1.49263522  1.59932663  1.20655147 -0.35156205 -0.26911477]",-4.1067573727036235,5,8.4,9,11.4
3,oahu0012_0004,usa_HI_Oahu0012,0,"LINESTRING (597229.0906012848 2394974.488744103, 597003.1640299559 2395212.3010251843)",14.676278655363488,98.33085754234948,oahu0012_0004,2,9,-14.303948925816556,15.35266967316744,29.656618598983997,1,"[-0.62256662 -1.43545335 -1.10056219 -0.88411215 -0.59454276 -0.2400428
  0.87127017  1.45742773  1.56725857  1.31553395 -0.06244678 -0.27176377]",-4.679267855020474,5,8.4,9,11.4
4,oahu0012_0005,usa_HI_Oahu0012,0,"LINESTRING (597248.0199296386 2394998.6958082337, 597014.3061373702 2395227.933107997)",13.314852213555755,95.16240727531381,oahu0012_0005,2,9,-13.15833967517085,13.328585597068596,26.486925272239446,1,"[-0.48966708 -1.5660603  -1.10789955 -0.84867903 -0.73485895 -0.2326787
  0.64013551  1.39632579  1.49234612  1.43693096  0.24617658 -0.23207136]",-5.157810308488167,0,9.85,10,12.85
5,oahu0012_0006,usa_HI_Oahu0012,0,"LINESTRING (597264.4902853983 2395023.0005468894, 597027.3828276461 2395244.831886331)",13.02440395538826,89.79318692383198,oahu0012_0006,2,10,-12.576462930758971,12.96119699136618,25.53765992212515,1,"[-0.39941595 -1.69065248 -0.81564383 -0.97575116 -0.7730156  -0.39963805
  0.50642181  1.06926013  1.45512302  1.73272865  0.29662085 -0.00603738]",-4.93347159853131,0,9.85,10,12.85
6,oahu0012_0007,usa_HI_Oahu0012,0,"LINESTRING (597280.7504863286 2395046.0768213575, 597041.7888001091 2395262.545902509)",12.965761723771182,84.99801835912403,oahu0012_0007,2,10,-9.533893346184982,13.660962731474811,23.194856077659793,1,"[-0.42229824 -1.3554253  -1.02732554 -0.86851598 -0.97701004 -0.47923038
  0.25750362  0.70647855  1.38697635  1.98491371  0.74795626  0.04597699]",-4.766643379552124,0,9.85,10,12.85
7,oahu0012_0008,usa_HI_Oahu0012,0,"LINESTRING (597296.7304220023 2395068.652374433, 597057.1068603634 2395280.5549731683)",12.599463086678675,81.57766775081522,oahu0012_0008,2,10,-7.4098199296103715,12.837922902059177,20.247742831669548,1,"[-0.217342   -1.25129767 -0.81441798 -0.79345105 -1.23908763 -0.68446709
  0.04700986  0.39047601  1.45490043  1.97757542  0.93217199  0.19792972]",-4.867661780285652,0,9.85,10,12.85
8,oahu0012_0009,usa_HI_Oahu0012,0,"LINESTRING (597312.5617688783 2395091.0257104672, 597072.7554100557 2395298.716491684)",12.768657462440878,79.87565766724029,oahu0012_0009,5,10,-7.853864000766741,12.604286904244915,20.458150905011657,1,"[ 0.21536882 -1.07276482 -0.77110499 -0.79942883 -1.22287651 -1.13279823
 -0.07126268  0.30551842  1.28485488  1.93197191  1.12498145  0.20754057]",-4.6533871659574055,0,9.85,10,12.85
9,oahu0012_0010,usa_HI_Oahu0012,0,"LINESTRING (597328.7524955532 2395113.027811447, 597088.5066027701 2395316.848667997)",12.597727722209514,78.96096719897162,oahu0012_0010,6,10,-7.2862101376370845,12.225842956671386,19.51205309430847,1,"[ 0.3439695  -0.87858692 -0.91865406 -0.87508633 -1.04380608 -1.16677389
 -0.15143784  0.2015767   1.22267287  2.07718604  1.07881989  0.1101201 ]",-4.719018811611242,0,9.85,10,12.85
10,oahu0012_0011,usa_HI_Oahu0012,0,"LINESTRING (597341.5092680291 2395137.995690718, 597104.1390560975 2395334.8059804994)",12.572990005767732,73.40804444267323,oahu0012_0011,6,10,-6.702425095552506,13.15782907771996,19.860254173272466,1,"[ 0.41043288 -0.74835443 -0.98425936 -0.9507007  -0.80940609 -1.04556706
 -0.45327436 -0.08788527  1.37247429  2.13008263  0.99318776  0.17326971]",-4.25895433344306,0,9.85,10,12.85
11,oahu0012_0012,usa_HI_Oahu0012,0,"LINESTRING (597353.3938293603 2395163.5967283295, 597119.2113647517 2395352.8537943168)",11.29479545742284,68.89237711869616,oahu0012_0012,4,10,-7.551576083501949,11.471687892882237,19.023263976384186,1,"[ 0.31170539 -1.22537371 -0.71873392 -1.30503293 -0.62784782 -0.3627516
 -0.57598981  0.24438481  1.33813652  2.29628873  0.36428912  0.26092524]",-4.415229415202773,0,9.85,10,12.85
12,oahu0012_0013,usa_HI_Oahu0012,0,"LINESTRING (597368.4550416898 2395186.327443596, 597133.5270950142 2395371.613184131)",10.297049932184526,70.57576251497194,oahu0012_0013,2,10,-5.772631052786149,9.231322971609245,15.003954024395394,1,"[ 0.20330234 -1.44497015 -0.90143871 -0.73446149 -0.76471287 -0.13884179
  0.50356562  0.60064995  0.83792369  2.46233014  0.10113172 -0.72447845]",-5.396866952823151,0,9.85,10,12.85
13,oahu0012_0014,usa_HI_Oahu0012,0,"LINESTRING (597386.1777859563 2395206.457348563, 597147.4489449458 2395391.64579883)",9.192907767952317,76.50269143849157,oahu0012_0014,2,9,-3.880950573461746,5.651323000063847,9.532273573525593,1,"[-0.10767362 -1.24770056 -1.24492626 -0.88746904 -0.06309245 -0.51192984
  0.27681441  0.81373246  1.85257777  1.8421569  -0.39856313 -0.32392664]",-7.2850092218300775,0,9.85,10,12.85
14,oahu0012_0015,usa_HI_Oahu0012,0,"LINESTRING (597405.9585169753 2395224.2240104694, 597161.7221846755 2395413.0210992754)",8.669392521132306,85.11861132491292,oahu0012_0015,12,9,-5.78519975073543,3.8223619857897546,9.607561736525184,1,"[-0.16923144 -1.31043823 -1.11601635 -0.45006817  0.24272832 -0.13113487
  1.12533032  1.30617317  1.44144516  1.06781496 -0.49033555 -1.51626732]",-8.7100739070614,5,8.4,9,11.4
